"","length.train","acc.pscore.som2","acc.tradit.som2","acc.pscore.som2.tx","acc.tradit.som2.tx"
"1",2479,0.653523489932886,0.726929530201342,0.566275167785235,0.643036912751678
"2",2459,0.666264090177134,0.737117552334944,0.572463768115942,0.647745571658615
"3",2430,0.646558704453441,0.724291497975708,0.550607287449393,0.633198380566802
"4",1996,0.646492985971944,0.727855711422846,0.565130260521042,0.649699398797595
"5",2477,0.677133655394525,0.738727858293076,0.59219001610306,0.654991948470209
"6",2480,0.667091295116773,0.742675159235669,0.577494692144374,0.656050955414013
"7",2460,0.659959758551308,0.725553319919517,0.568209255533199,0.643460764587525
"8",2473,0.669834710743802,0.730165289256198,0.581818181818182,0.644214876033058
"9",2485,0.66140350877193,0.732456140350877,0.575,0.655701754385965
"10",2485,0.655021834061135,0.725327510917031,0.572489082969432,0.650655021834061
"11",2484,0.656986531986532,0.731060606060606,0.568602693602694,0.654882154882155
"12",2412,0.668674698795181,0.74859437751004,0.58433734939759,0.664658634538153
"13",2484,0.665800865800866,0.734632034632035,0.582683982683983,0.657142857142857
"14",2418,0.659496753246753,0.741883116883117,0.571428571428571,0.653814935064935
"15",2475,0.661666666666667,0.7425,0.575,0.660833333333333
"16",2483,0.678030303030303,0.732744107744108,0.589646464646465,0.649410774410774
"17",2464,0.665725806451613,0.743145161290323,0.586290322580645,0.6625
"18",2482,0.655936454849498,0.737876254180602,0.578177257525084,0.659698996655518
"19",2470,0.651428571428571,0.739183673469388,0.57469387755102,0.664897959183673
"20",2422,0.67365028203062,0.744560838033844,0.584206285253828,0.661563255439162
"21",2457,0.669230769230769,0.74331983805668,0.592307692307692,0.670445344129555
"22",2288,0.673107890499195,0.742753623188406,0.589371980676328,0.663848631239936
"23",2481,0.66344537815126,0.734453781512605,0.581512605042017,0.653361344537815
"24",2349,0.672844480257857,0.743352135374698,0.578162771958098,0.651087832393231
"25",2467,0.652889245585875,0.720304975922954,0.565008025682183,0.643659711075441
"26",2485,0.679828326180257,0.739914163090129,0.585407725321888,0.647639484978541
"27",2448,0.667603372139703,0.749096748293858,0.579686872741871,0.658370132476917
"28",2340,0.67258064516129,0.733467741935484,0.593145161290323,0.654838709677419
"29",2482,0.673288250211327,0.746830092983939,0.599746407438715,0.676669484361792
"30",2400,0.665587044534413,0.738056680161943,0.574493927125506,0.658704453441296
"31",2484,0.67061310782241,0.750528541226216,0.582663847780127,0.663002114164905
"32",2080,0.653413654618474,0.738152610441767,0.565060240963855,0.653815261044177
"33",2483,0.665,0.741666666666667,0.579166666666667,0.655
"34",2483,0.665384615384615,0.73974358974359,0.576068376068376,0.655555555555556
"35",2476,0.672697368421053,0.7421875,0.586348684210526,0.665707236842105
"36",2424,0.664788732394366,0.730382293762575,0.577464788732394,0.642655935613682
"37",2482,0.664102564102564,0.734615384615385,0.585042735042735,0.655982905982906
"38",2484,0.664201826881253,0.7442366246194,0.573292735972162,0.661591996520226
"39",2426,0.678341384863124,0.744766505636071,0.593800322061192,0.661030595813205
"40",2483,0.662348877374784,0.738773747841105,0.569516407599309,0.644214162348877
"41",2139,0.672552166934189,0.742375601926164,0.579454253611557,0.662921348314607
"42",2479,0.660833333333333,0.73375,0.572916666666667,0.649166666666667
"43",2444,0.678513071895425,0.750816993464052,0.591911764705882,0.668300653594771
"44",2218,0.650220617729643,0.732851985559567,0.566787003610108,0.651423987164059
"45",2481,0.662520064205458,0.729534510433387,0.580256821829855,0.655296950240771
"46",2440,0.681212121212121,0.744646464646465,0.592727272727273,0.654141414141414
"47",2409,0.672012830793905,0.745388933440257,0.58420208500401,0.665597433841219
"48",2483,0.664653784219002,0.733494363929147,0.584943639291465,0.657004830917874
"49",2442,0.686471296668005,0.757125652348454,0.587314331593737,0.661983139301485
"50",2317,0.67215088282504,0.742375601926164,0.581059390048154,0.652487961476725
