"","method.HC","len.train","accuracy.HC"
"1","HCps",2418,0.378246753246753
"2","HCps",2483,0.382051282051282
"3","HCps",2080,0.36425702811245
"4","HCps",2448,0.368526696105982
"5","HCps",2269,0.376910699919549
"6","HCps",2459,0.38365539452496
"7","HCps",2428,0.380395320693828
"8","HCps",2485,0.387280701754386
"9","HCps",2440,0.387070707070707
"10","HCps",2446,0.388163265306122
"11","HCps",2483,0.402576489533011
"12","HCps",2471,0.374183006535948
"13","HCps",2481,0.384453781512605
"14","HCps",2317,0.400882825040128
"15","HCps",2387,0.371578099838969
"16","HCps",2473,0.374380165289256
"17","HCps",2444,0.38031045751634
"18","HCps",2472,0.382850241545894
"19","HCps",2485,0.369130434782609
"20","HCps",2139,0.381219903691814
"21","HCps",2479,0.37875
"22","HCps",2415,0.389516129032258
"23","HCps",2476,0.383223684210526
"24","HCps",1996,0.36312625250501
"25","HCps",2377,0.401533494753834
"26","HCps",2382,0.385760257441673
"27","HCps",2484,0.380549682875264
"28","HCps",2468,0.380837359098229
"29","HCps",2480,0.364135021097046
"30","HCps",2484,0.373026034997866
"31","HCps",2349,0.389605157131346
"32","HCps",2412,0.375903614457831
"33","HCps",2436,0.377320419693301
"34","HCps",2364,0.363599839292889
"35","HCps",2329,0.387550200803213
"36","HCps",2480,0.372823779193206
"37","HCps",2480,0.405450733752621
"38","HCps",2424,0.385513078470825
"39","HCps",2485,0.363948497854077
"40","HCps",2481,0.388443017656501
"41","HCps",2441,0.376006441223833
"42","HCps",2406,0.369582664526485
"43","HCps",2392,0.366100323624595
"44","HCps",2452,0.373696872493986
"45","HCps",2340,0.395967741935484
"46","HCps",2481,0.389573070607553
"47","HCps",2480,0.380416666666667
"48","HCps",2460,0.398792756539235
"49","HCps",2304,0.384212645992751
"50","HCps",2442,0.381372942593336
"51","HCps",2483,0.38047138047138
"52","HCps",2482,0.385897435897436
"53","HCps",2246,0.38433734939759
"54","HCps",2485,0.373799126637555
"55","HCps",2403,0.378824476650564
"56","HCps",2484,0.39451114922813
"57","HCps",2432,0.376068376068376
"58","HCps",2470,0.377142857142857
"59","HCps",2484,0.387000849617672
"60","HCps",2479,0.375844594594595
"61","HCps",2433,0.404032258064516
"62","HCps",2371,0.374193548387097
"63","HCps",2482,0.384615384615385
"64","HCps",2479,0.375419463087248
"65","HCps",2484,0.381035232709874
"66","HCps",2476,0.377259943752511
"67","HCps",2483,0.3675
"68","HCps",2357,0.372383252818035
"69","HCps",2409,0.388933440256616
"70","HCps",2464,0.368951612903226
"71","HCps",2478,0.386029411764706
"72","HCps",2184,0.373392282958199
"73","HCps",2455,0.366532258064516
"74","HCps",2422,0.393634165995165
"75","HCps",2480,0.395582329317269
"76","HCps",2483,0.383591065292096
"77","HCps",2480,0.37520325203252
"78","HCps",2426,0.372785829307568
"79","HCps",2484,0.392857142857143
"80","HCps",2481,0.382227891156463
"81","HCps",2485,0.391341991341991
"82","HCps",2437,0.3785084202085
"83","HCps",2477,0.381642512077295
"84","HCps",2483,0.375215889464594
"85","HCps",2484,0.372253339077984
"86","HCps",2482,0.387541806020067
"87","HCps",2218,0.387083834737264
"88","HCps",2478,0.377731092436975
"89","HCps",2465,0.385140562248996
"90","HCps",2288,0.382850241545894
"91","HCps",2466,0.392542101042502
"92","HCps",2479,0.386101973684211
"93","HCps",2430,0.37085020242915
"94","HCps",2484,0.393097643097643
"95","HCps",2400,0.387854251012146
"96","HCps",2457,0.372064777327935
"97","HCps",2484,0.376623376623377
"98","HCps",2458,0.386446147640177
"99","HCps",2475,0.389583333333333
