"","method.KM","len.train","accuracy.KM"
"82","KMps",2437,0.530874097834804
"83","KMps",2477,0.538647342995169
"84","KMps",2483,0.537996545768566
"85","KMps",2484,0.537699267557087
"86","KMps",2482,0.532190635451505
"87","KMps",2218,0.532691536301645
"88","KMps",2478,0.523529411764706
"89","KMps",2465,0.530522088353414
"90","KMps",2288,0.530595813204509
"91","KMps",2466,0.525260625501203
"92","KMps",2479,0.521792763157895
"93","KMps",2430,0.536437246963563
"94","KMps",2484,0.532407407407407
"95","KMps",2400,0.530364372469636
"96","KMps",2457,0.548178137651822
"97","KMps",2484,0.532467532467532
"98","KMps",2458,0.522791448164582
"99","KMps",2475,0.533333333333333
"100","KMps",2467,0.538523274478331
"101","KMts",2418,0.152191558441558
"102","KMts",2483,0.144871794871795
"103","KMts",2080,0.135341365461847
"104","KMts",2448,0.155760738659173
"105","KMts",2269,0.146419951729686
"106","KMts",2459,0.151368760064412
"107","KMts",2428,0.139169019766035
"108","KMts",2485,0.142982456140351
"109","KMts",2440,0.136969696969697
"110","KMts",2446,0.156326530612245
"111","KMts",2483,0.148550724637681
"112","KMts",2471,0.146650326797386
"113","KMts",2481,0.141176470588235
"114","KMts",2317,0.146468699839486
"115","KMts",2387,0.14573268921095
"116","KMts",2473,0.151652892561983
"117","KMts",2444,0.147875816993464
"118","KMts",2472,0.154186795491143
"119","KMts",2485,0.162173913043478
"120","KMts",2139,0.150481540930979
"121","KMts",2479,0.152083333333333
"122","KMts",2415,0.153225806451613
"123","KMts",2476,0.162417763157895
"124","KMts",1996,0.148697394789579
"125","KMts",2377,0.15819209039548
"126","KMts",2382,0.152855993563958
"127","KMts",2484,0.149260042283298
"128","KMts",2468,0.163848631239936
"129","KMts",2480,0.153586497890295
"130","KMts",2484,0.152795561246265
"131","KMts",2349,0.154311039484287
"132","KMts",2412,0.144979919678715
"133","KMts",2436,0.15092816787732
"134","KMts",2364,0.151064684612294
"135","KMts",2329,0.146586345381526
"136","KMts",2480,0.160509554140127
"137","KMts",2480,0.137106918238994
"138","KMts",2424,0.144869215291751
"139","KMts",2485,0.143776824034335
"140","KMts",2481,0.144863563402889
"141","KMts",2441,0.142512077294686
"142","KMts",2406,0.134831460674157
"143","KMts",2392,0.163834951456311
"144","KMts",2452,0.139133921411387
"145","KMts",2340,0.14758064516129
"146","KMts",2481,0.150656814449918
"147","KMts",2480,0.158333333333333
"148","KMts",2460,0.146881287726358
"149","KMts",2304,0.147402335884011
"150","KMts",2442,0.154154957848254
"151","KMts",2483,0.143939393939394
"152","KMts",2482,0.144871794871795
"153","KMts",2246,0.146987951807229
"154","KMts",2485,0.151091703056769
"155","KMts",2403,0.152576489533011
"156","KMts",2484,0.153516295025729
"157","KMts",2432,0.142857142857143
"158","KMts",2470,0.148163265306122
"159","KMts",2484,0.14570943075616
"160","KMts",2479,0.142314189189189
"161","KMts",2433,0.154032258064516
"162","KMts",2371,0.145161290322581
"163","KMts",2482,0.13905325443787
"164","KMts",2479,0.148070469798658
"165","KMts",2484,0.152240104393214
"166","KMts",2476,0.153475291281639
"167","KMts",2483,0.1625
"168","KMts",2357,0.136473429951691
"169","KMts",2409,0.150360866078589
"170","KMts",2464,0.150403225806452
"171","KMts",2478,0.145424836601307
"172","KMts",2184,0.153938906752412
"173","KMts",2455,0.155241935483871
"174","KMts",2422,0.154713940370669
"175","KMts",2480,0.14859437751004
"176","KMts",2483,0.146048109965636
"177","KMts",2480,0.160975609756098
"178","KMts",2426,0.143317230273752
"179","KMts",2484,0.15625
"180","KMts",2481,0.138605442176871
"181","KMts",2485,0.138961038961039
"182","KMts",2437,0.136327185244587
"183","KMts",2477,0.141304347826087
"184","KMts",2483,0.141623488773748
"185","KMts",2484,0.160706591986213
"186","KMts",2482,0.156354515050167
"187","KMts",2218,0.142398716405937
"188","KMts",2478,0.154621848739496
"189","KMts",2465,0.141767068273092
"190","KMts",2288,0.139694041867955
"191","KMts",2466,0.149558941459503
"192","KMts",2479,0.145970394736842
"193","KMts",2430,0.15748987854251
"194","KMts",2484,0.146885521885522
"195","KMts",2400,0.149797570850202
"196","KMts",2457,0.14412955465587
"197","KMts",2484,0.134199134199134
"198","KMts",2458,0.141992739007664
"199","KMts",2475,0.142083333333333
"200","KMts",2467,0.158908507223114
