"","accuracy.Sup3","length.boot.weights"
"1",0.954802259887006,42
"2",0.966694078947368,128
"3",0.971014492753623,138
"4",0.963087248322148,149
"5",0.970731707317073,164
"6",0.968300929839391,182
"7",0.962337662337662,231
"8",0.960474308300395,253
"9",0.965909090909091,264
"10",0.968895078922934,359
"11",0.959484346224678,362
"12",0.965608465608466,378
"13",0.966507177033493,418
"14",0.969626168224299,428
"15",0.957077625570776,438
"16",0.958465011286682,443
"17",0.97125,480
"18",0.965909090909091,506
"19",0.963510848126233,507
"20",0.9625,560
"21",0.967198581560284,564
"22",0.963383838383838,594
"23",0.968781470292044,662
"24",0.96421568627451,680
"25",0.965417867435158,694
"26",0.963276836158192,708
"27",0.963849765258216,710
"28",0.955197132616487,744
"29",0.96484375,768
"30",0.968377088305489,838
"31",0.961904761904762,840
"32",0.968457943925234,856
"33",0.961805555555556,864
"34",0.958094144661309,871
"35",0.959288990825688,872
"36",0.967353951890034,873
"37",0.960686600221484,903
"38",0.956449834619625,907
"39",0.968306010928962,915
"40",0.956026058631922,921
"41",0.967637540453074,927
"42",0.956451612903226,930
"43",0.964171122994652,935
"44",0.966986155484558,939
"45",0.962097611630322,963
"46",0.969346733668342,995
"47",0.961026615969582,1052
"48",0.954376163873371,1074
"49",0.963513513513514,1110
"50",0.954471544715447,1230
"51",0.969927826784282,1247
"52",0.967948717948718,1248
"53",0.964257347100874,1259
"54",0.957142857142857,1260
"55",0.962174940898345,1269
"56",0.965089216446858,1289
"57",0.961270333075136,1291
"58",0.966565349544073,1316
"59",0.960235640648012,1358
"60",0.964207450693937,1369
"61",0.973012399708242,1371
"62",0.962882096069869,1374
"63",0.961510530137981,1377
"64",0.964773544212797,1391
"65",0.965272856130404,1411
"66",0.954160789844852,1418
"67",0.970567624386826,1427
"68",0.966689798750867,1441
"69",0.963245492371706,1442
"70",0.957592339261286,1462
"71",0.968813559322034,1475
"72",0.958389261744966,1490
"73",0.955734406438632,1491
"74",0.961766644693474,1517
"75",0.96646942800789,1521
"76",0.964520367936925,1522
"77",0.961013645224172,1539
"78",0.966306420851875,1573
"79",0.970403022670025,1588
"80",0.969259723964868,1594
"81",0.966376089663761,1606
"82",0.968283582089552,1608
"83",0.955900621118012,1610
"84",0.961893054701905,1627
"85",0.963803680981595,1630
"86",0.966626213592233,1648
"87",0.968033775633293,1658
"88",0.964880952380952,1680
"89",0.962544589774079,1682
"90",0.959763313609467,1690
"91",0.962877030162413,1724
"92",0.967379077615298,1778
"93",0.954895489548955,1818
"94",0.971627408993576,1868
"95",0.969909729187563,1994
"96",0.970267591674926,2018
"97",0.963985032740879,2138
"98",0.972067039106145,2148
"99",0.973118279569892,2232
"100",0.965899025686448,2258
"101",0.966783216783217,2288
"102",0.959860383944154,2292
