"","N.obs.train.k.lmFE","ID","accuracy.out.lmFE"
"116",398,"0",0.885678391959799
"117",423,"0",0.895981087470449
"118",438,"0",0.878082191780822
"119",440,"0",0.888636363636364
"120",503,"0",0.891153081510934
"121",516,"0",0.882751937984496
"122",534,"0",0.87874531835206
"123",537,"0",0.886405959031657
"124",626,"0",0.896166134185304
"125",630,"0",0.881481481481481
"126",631,"0",0.890121500264131
"127",648,"0",0.883230452674897
"128",687,"0",0.89665211062591
"129",710,"0",0.884037558685446
"130",724,"0",0.901473296500921
"131",768,"0",0.883680555555556
"132",774,"0",0.885874246339363
"133",788,"0",0.880710659898477
"134",841,"0",0.876932223543401
"135",844,"0",0.883886255924171
"136",862,"0",0.895011600928074
"137",872,"0",0.886467889908257
"138",889,"0",0.898762654668167
"139",893,"0",0.87458006718925
"140",894,"0",0.898210290827741
"141",896,"0",0.888392857142857
"142",904,"0",0.886061946902655
"143",925,"0",0.880540540540541
"144",939,"0",0.885516506922258
"145",944,"0",0.891419491525424
"146",965,"0",0.899481865284974
"147",968,"0",0.895144628099174
"148",971,"0",0.890319258496395
"149",1044,"0",0.886015325670498
"150",1160,"0",0.892672413793103
"151",1214,"0",0.900741350906096
"152",1238,"0",0.891760904684976
"153",1247,"0",0.892141138732959
"154",1248,"0",0.899038461538462
"155",1255,"0",0.87808764940239
"156",1267,"0",0.887924230465667
"157",1279,"0",0.894448788115715
"158",1285,"0",0.884824902723735
"159",1294,"0",0.873261205564142
"160",1295,"0",0.87953667953668
"161",1303,"0",0.894090560245587
"162",1351,"0",0.883049592894153
"163",1410,"0",0.895035460992908
"164",1415,"0",0.890459363957597
"165",1420,"0",0.883802816901408
"166",1444,"0",0.894736842105263
"167",1447,"0",0.865929509329648
"168",1451,"0",0.903514817367333
"169",1464,"0",0.900956284153005
"170",1506,"0",0.882470119521912
"171",1512,"0",0.876322751322751
"172",1529,"0",0.888816219751472
"173",1548,"0",0.885658914728682
"174",1554,"0",0.893822393822394
"175",1562,"0",0.891805377720871
"176",1564,"0",0.889386189258312
"177",1573,"0",0.891926255562619
"178",1574,"0",0.881829733163914
"179",1575,"0",0.91047619047619
"180",1593,"0",0.887005649717514
"181",1612,"0",0.882754342431762
"182",1637,"0",0.890653634697618
"183",1645,"0",0.892401215805471
"184",1656,"0",0.881642512077295
"185",1658,"0",0.875753920386007
"186",1664,"0",0.899639423076923
"187",1696,"0",0.894457547169811
"188",1706,"0",0.883352872215709
"189",1716,"0",0.892191142191142
"190",1728,"0",0.901041666666667
"191",1766,"0",0.883352208380521
"192",1774,"0",0.901916572717024
"193",1792,"0",0.885602678571429
"194",1794,"0",0.890746934225195
"195",1914,"0",0.890804597701149
"196",1956,"0",0.889570552147239
"197",1958,"0",0.892747701736466
"198",1970,"0",0.890355329949239
"199",2040,"0",0.9
"200",2100,"0",0.882380952380952
"201",2120,"0",0.899056603773585
"202",2138,"0",0.884471468662301
"203",2232,"0",0.882616487455197
"204",2288,"0",0.885926573426573
