"","accuracy.Sup3","length.boot.weights"
"1",0.948387096774194,16
"2",0.95044319097502,17
"3",0.9585346215781,27
"4",0.955439582496989,53
"5",0.96008064516129,62
"6",0.964135021097046,158
"7",0.959517657192076,258
"8",0.960549645390071,282
"9",0.965228873239437,284
"10",0.960344827586207,290
"11",0.963943404837974,313
"12",0.95974025974026,330
"13",0.964959568733154,371
"14",0.963986599664992,398
"15",0.966430260047281,423
"16",0.958447488584475,438
"17",0.965,440
"18",0.968687872763419,503
"19",0.964147286821705,516
"20",0.953183520599251,534
"21",0.966945996275605,537
"22",0.95580404685836,626
"23",0.966666666666667,630
"24",0.966719492868463,631
"25",0.967078189300412,648
"26",0.961669092673459,687
"27",0.964319248826291,710
"28",0.95902394106814,724
"29",0.959635416666667,768
"30",0.962962962962963,774
"31",0.955160744500846,788
"32",0.9589774078478,841
"33",0.955568720379147,844
"34",0.956496519721578,862
"35",0.962729357798165,872
"36",0.966254218222722,889
"37",0.962486002239642,893
"38",0.965324384787472,894
"39",0.966517857142857,896
"40",0.964601769911504,904
"41",0.958378378378378,925
"42",0.964856230031949,939
"43",0.960805084745763,944
"44",0.965284974093264,965
"45",0.963326446280992,968
"46",0.966529351184346,971
"47",0.951628352490421,1044
"48",0.960344827586207,1160
"49",0.96828665568369,1214
"50",0.961631663974152,1238
"51",0.969125902165196,1247
"52",0.967147435897436,1248
"53",0.960159362549801,1255
"54",0.955801104972376,1267
"55",0.963252541047694,1279
"56",0.964980544747082,1285
"57",0.950540958268934,1294
"58",0.972200772200772,1295
"59",0.96392939370683,1303
"60",0.964470762398223,1351
"61",0.965957446808511,1410
"62",0.951943462897527,1415
"63",0.969718309859155,1420
"64",0.95983379501385,1444
"65",0.955079474775397,1447
"66",0.962095106822881,1451
"67",0.967896174863388,1464
"68",0.962151394422311,1506
"69",0.954365079365079,1512
"70",0.966644865925441,1529
"71",0.960594315245478,1548
"72",0.953667953667954,1554
"73",0.955185659411012,1562
"74",0.96227621483376,1564
"75",0.962492053401144,1573
"76",0.959339263024142,1574
"77",0.965079365079365,1575
"78",0.966101694915254,1593
"79",0.969602977667494,1612
"80",0.963347587049481,1637
"81",0.961702127659574,1645
"82",0.958333333333333,1656
"83",0.961399276236429,1658
"84",0.962139423076923,1664
"85",0.970518867924528,1696
"86",0.963657678780774,1706
"87",0.961538461538462,1716
"88",0.963541666666667,1728
"89",0.955832389580974,1766
"90",0.963359639233371,1774
"91",0.964285714285714,1792
"92",0.957636566332218,1794
"93",0.970741901776385,1914
"94",0.96881390593047,1956
"95",0.966292134831461,1958
"96",0.964467005076142,1970
"97",0.970588235294118,2040
"98",0.970952380952381,2100
"99",0.961792452830189,2120
"100",0.968194574368569,2138
"101",0.961021505376344,2232
"102",0.958916083916084,2288
