"","accuracy.Sup3","length.boot.weights"
"1",0.955911823647295,5
"2",0.940562248995984,6
"3",0.941813804173355,7
"4",0.94975884244373,8
"5",0.953469715202567,9
"6",0.946586345381526,10
"7",0.952936444086887,11
"8",0.961755233494364,12
"9",0.947241240434958,13
"10",0.959871589085072,14
"11",0.94859437751004,15
"12",0.958870967741935,16
"13",0.953263497179694,17
"14",0.951690821256039,18
"15",0.954600241060667,19
"16",0.958467741935484,20
"17",0.961662631154157,21
"18",0.954143201930813,22
"19",0.959339774557166,23
"20",0.951051779935275,24
"21",0.955465587044534,26
"22",0.952898550724638,27
"23",0.95585874799358,28
"24",0.965918203688853,29
"25",0.949799196787149,30
"26",0.958064516129032,31
"27",0.948457792207792,32
"28",0.955680902497986,34
"29",0.955734406438632,35
"30",0.953301127214171,36
"31",0.959661153691004,37
"32",0.960728744939271,38
"33",0.958078958078958,39
"34",0.957258064516129,40
"35",0.962469733656174,42
"36",0.95028067361668,43
"37",0.96,45
"38",0.959742351046699,46
"39",0.959454034524287,47
"40",0.95874183006536,48
"41",0.958367346938775,50
"42",0.9542352468888,53
"43",0.961106655974338,58
"44",0.954838709677419,62
"45",0.957085020242915,65
"46",0.958047599838645,67
"47",0.95450885668277,69
"48",0.960160965794769,71
"49",0.959677419354839,80
"50",0.959839357429719,83
"51",0.951483560545309,86
"52",0.966292134831461,89
"53",0.959742351046699,92
"54",0.962040816326531,98
"55",0.959558823529412,102
"56",0.956119162640902,108
"57",0.960743801652893,110
"58",0.959583333333333,120
"59",0.952302631578947,128
"60",0.965046203294496,131
"61",0.960144927536232,138
"62",0.959663865546219,140
"63",0.959558823529412,144
"64",0.960304054054054,148
"65",0.963926174496644,149
"66",0.960416666666667,150
"67",0.962993421052632,152
"68",0.954989384288747,157
"69",0.957805907172996,158
"70",0.958071278825996,159
"71",0.960833333333333,160
"72",0.948373983739837,164
"73",0.967871485943775,166
"74",0.958333333333333,168
"75",0.965126050420168,170
"76",0.957717569786535,174
"77",0.960272873194221,178
"78",0.958974358974359,180
"79",0.962806424344886,182
"80",0.954849498327759,184
"81",0.953799654576857,193
"82",0.95360824742268,194
"83",0.961965811965812,195
"84",0.955387205387205,198
"85",0.960833333333333,200
"86",0.959742351046699,207
"87",0.963027403218791,209
"88",0.957575757575758,210
"89",0.962085308056872,211
"90",0.954545454545455,212
"91",0.960734101579172,213
"92",0.966864910790144,214
"93",0.960676532769556,215
"94",0.958333333333333,216
"95",0.960227272727273,224
"96",0.960964912280702,228
"97",0.95938864628821,229
"98",0.962608695652174,230
"99",0.957142857142857,231
"100",0.964377682403433,233
