"","length.train","acc.pscore.kmeans","acc.tradit.kmeans","acc.pscore.hclust","acc.tradit.hclust","acc.pscore.som108","acc.tradit.som108","acc.pscore.sommap","acc.tradit.sommap"
"1",1996,0.717835671342685,0.270941883767535,0.367134268537074,0.750300601202405,0.0929859719438878,0.048496993987976,0.307815631262525,0.68496993987976
"2",2080,0.716867469879518,0.267068273092369,0.373493975903614,0.739759036144578,0.0835341365461847,0.0526104417670683,0.308835341365462,0.662650602409639
"3",2139,0.708667736757624,0.270064205457464,0.37800963081862,0.741171749598716,0.0991171749598716,0.0537720706260032,0.320224719101124,0.654494382022472
"4",2184,0.719453376205788,0.255225080385852,0.370578778135048,0.745980707395498,0.0856109324758842,0.0466237942122186,0.296221864951768,0.657958199356913
"5",2218,0.738868832731649,0.274769354191737,0.367428800641797,0.75290814279984,0.0826313678299238,0.0485359005214601,0.309265944645006,0.672683513838748
"6",2246,0.730923694779116,0.280321285140562,0.389156626506024,0.743775100401606,0.0891566265060241,0.0514056224899598,0.311244979919679,0.662650602409639
"7",2269,0.725261464199517,0.272325020112631,0.381335478680611,0.742156074014481,0.0772325020112631,0.0534995977473854,0.297666934835076,0.65728077232502
"8",2288,0.720209339774557,0.267713365539453,0.371980676328502,0.73792270531401,0.0865539452495974,0.0539452495974235,0.305958132045089,0.657407407407407
"9",2304,0.737011679420056,0.270237615787354,0.369311316955296,0.731373338703182,0.0825614176399517,0.0438985098670963,0.302859444220701,0.654450261780105
"10",2317,0.704253611556982,0.271268057784912,0.376003210272873,0.731139646869984,0.0971107544141252,0.0573836276083467,0.302166934189406,0.65008025682183
"11",2329,0.728112449799197,0.269879518072289,0.370281124497992,0.753413654618474,0.0899598393574297,0.0481927710843374,0.299196787148594,0.66144578313253
"12",2340,0.733467741935484,0.268951612903226,0.378629032258064,0.747177419354839,0.0737903225806452,0.0475806451612903,0.295967741935484,0.664516129032258
"13",2349,0.729653505237712,0.279613215149073,0.379129734085415,0.746978243352135,0.0862207896857373,0.0543916196615633,0.307413376309428,0.652699435938759
"14",2357,0.730273752012882,0.274959742351047,0.382447665056361,0.751207729468599,0.0797101449275362,0.0479066022544283,0.304347826086957,0.67109500805153
"15",2364,0.720369626355966,0.258738449176376,0.361189232623544,0.75331458417035,0.0899959823222178,0.0494174367215749,0.290879871434311,0.664925672961029
"16",2371,0.72741935483871,0.263709677419355,0.375403225806452,0.754838709677419,0.0875,0.0479838709677419,0.306451612903226,0.662903225806452
"17",2377,0.735673930589185,0.261904761904762,0.37772397094431,0.748991121872478,0.0786924939467312,0.0520581113801453,0.304681194511703,0.670298627925747
"18",2382,0.722043443282381,0.262268704746581,0.365245374094932,0.741753821399839,0.084070796460177,0.0494770716009654,0.30852775543041,0.665728077232502
"19",2387,0.731884057971015,0.264895330112721,0.376006441223833,0.734299516908213,0.0833333333333333,0.0462962962962963,0.301932367149758,0.651771336553945
"20",2392,0.718851132686084,0.268608414239482,0.377427184466019,0.741504854368932,0.0800970873786408,0.0497572815533981,0.310679611650485,0.660194174757282
"21",2400,0.719028340080972,0.262348178137652,0.38502024291498,0.736032388663968,0.0829959514170041,0.0534412955465587,0.31497975708502,0.653846153846154
"22",2403,0.715780998389694,0.269323671497585,0.388888888888889,0.748792270531401,0.0789049919484702,0.0507246376811594,0.321658615136876,0.661835748792271
"23",2406,0.725922953451043,0.271268057784912,0.392857142857143,0.737158908507223,0.0830658105939005,0.0441412520064205,0.315810593900482,0.651284109149278
"24",2409,0.730553327987169,0.269847634322374,0.370890136327185,0.756214915797915,0.0777866880513232,0.0525260625501203,0.315958299919808,0.684041700080192
"25",2412,0.730522088353414,0.279518072289157,0.404417670682731,0.744578313253012,0.078714859437751,0.0514056224899598,0.333333333333333,0.65863453815261
"26",2415,0.739516129032258,0.277822580645161,0.386290322580645,0.746774193548387,0.0846774193548387,0.0455645161290323,0.317741935483871,0.666935483870968
"27",2418,0.714285714285714,0.273944805194805,0.387581168831169,0.737012987012987,0.086038961038961,0.0539772727272727,0.310470779220779,0.65137987012987
"28",2422,0.734488315874295,0.267123287671233,0.391216760676873,0.733682514101531,0.0878323932312651,0.0511684125705077,0.306204673650282,0.641418211120064
"29",2424,0.714688128772636,0.270020120724346,0.37625754527163,0.736016096579477,0.0841046277665996,0.0482897384305835,0.313883299798793,0.656740442655936
"30",2426,0.719806763285024,0.25805152979066,0.377214170692432,0.750402576489533,0.0817230273752013,0.0410628019323672,0.317230273752013,0.667471819645733
"31",2428,0.72650262202501,0.279951593384429,0.384429205324728,0.72932634126664,0.0734167002823719,0.0508269463493344,0.307382008874546,0.653489310205728
"32",2430,0.720647773279352,0.27085020242915,0.376113360323887,0.734412955465587,0.0740890688259109,0.0473684210526316,0.301214574898785,0.65668016194332
"33",2432,0.71998371998372,0.261701261701262,0.374440374440374,0.72975172975173,0.0911680911680912,0.0504680504680505,0.313797313797314,0.645909645909646
"34",2433,0.700806451612903,0.256451612903226,0.377016129032258,0.736290322580645,0.0858870967741936,0.0495967741935484,0.317741935483871,0.666129032258065
"35",2436,0.712671509281679,0.269168684422922,0.379338175948345,0.741323648103309,0.0839386602098467,0.0456012913640032,0.314769975786925,0.65819209039548
"36",2437,0.709302325581395,0.27626303127506,0.393744987971131,0.743384121892542,0.0878107457898958,0.0569366479550922,0.316760224538893,0.654370489174018
"37",2440,0.721212121212121,0.267070707070707,0.385050505050505,0.743838383838384,0.084040404040404,0.0533333333333333,0.309090909090909,0.667474747474747
"38",2441,0.718196457326892,0.274557165861514,0.378824476650564,0.740740740740741,0.0797101449275362,0.0430756843800322,0.301529790660225,0.655797101449275
"39",2442,0.72099558410277,0.260136491368928,0.384183059012445,0.74347651545564,0.0822962665596146,0.0590124448012846,0.309514251304697,0.659975913287836
"40",2444,0.732843137254902,0.274509803921569,0.381535947712418,0.742238562091503,0.0788398692810457,0.0531045751633987,0.323937908496732,0.66952614379085
"41",2446,0.738775510204082,0.25265306122449,0.366938775510204,0.74530612244898,0.0828571428571429,0.0469387755102041,0.297142857142857,0.666938775510204
"42",2448,0.709353673223605,0.284624648735448,0.39421918908069,0.735447611401044,0.0863107185869129,0.0493777599357688,0.319951826575672,0.638297872340426
"43",2452,0.720930232558139,0.272654370489174,0.380112269446672,0.746992782678428,0.0846030473135525,0.0473135525260625,0.315958299919808,0.670809943865277
"44",2455,0.728629032258065,0.267338709677419,0.380241935483871,0.742338709677419,0.0782258064516129,0.0516129032258065,0.304838709677419,0.662903225806452
"45",2457,0.718218623481781,0.270445344129555,0.387449392712551,0.74251012145749,0.0829959514170041,0.0530364372469636,0.336842105263158,0.674493927125506
"46",2458,0.700685760387253,0.27551432029044,0.384429205324728,0.735377168212989,0.0919725695845099,0.0512303348124244,0.317466720451795,0.667607906413877
"47",2459,0.734702093397746,0.279790660225443,0.39573268921095,0.745571658615137,0.0857487922705314,0.0527375201288245,0.307971014492754,0.662238325281804
"48",2460,0.733601609657948,0.276056338028169,0.391146881287726,0.743661971830986,0.0820925553319919,0.0482897384305835,0.323138832997988,0.661971830985915
"49",2464,0.733870967741935,0.280645161290323,0.387903225806452,0.753225806451613,0.0754032258064516,0.0443548387096774,0.319354838709677,0.6625
"50",2465,0.731325301204819,0.27429718875502,0.380321285140562,0.739357429718876,0.0799196787148594,0.0538152610441767,0.310843373493976,0.657028112449799
"51",2466,0.734161988773055,0.262630312750601,0.380513231756215,0.731355252606255,0.0813953488372093,0.0469125902165196,0.305533279871692,0.651563753007217
"52",2467,0.722712680577849,0.268459069020867,0.380016051364366,0.725120385232745,0.0862760834670947,0.0517656500802568,0.302568218298555,0.654494382022472
